id,populacao,demanda
2500106,4350,10
2500205,1841,4
2500304,20851,54
2500304,20851,54
2500403,12662,33
2500502,8840,23
2500536,2564,6
2500577,1302,3
2500601,14188,37
2500601,14188,37
2500734,822,2
2500775,3465,8
2500809,8939,23
2500908,9474,24
2500908,9474,24
2501005,11538,29
2501104,16622,43
2501104,16622,43
2501104,16622,43
2501153,1398,3
2501203,4578,11
2501302,9270,24
2501351,2134,5
2501401,5032,12
2501500,10016,26
2501534,2922,7
2501609,9365,24
2501575,3619,8
2501708,2989,7
2501807,100363,281
2501807,100363,281
2501807,100363,281
2501906,14330,37
2502003,6639,15
2502052,1282,3
2502102,5153,12
2502151,2535,4
2502201,1374,3
2502300,3095,7
2502409,6780,16
2502508,13106,23
2502706,4273,10
2502805,9984,25
2502904,5050,12
2503001,17715,46
2503100,2124,4
2503209,59983,168
2503308,4146,10
2503407,2092,5
2503506,10175,26
2503555,2777,6
2503605,5646,14
2503704,50553,132
2503753,1530,4
2503803,4280,10
2503803,4280,10
2503902,3434,8
2504009,386680,1343
2516409,4466,11
2504033,4227,10
2504074,1686,4
2504108,1939,4
2504157,4304,8
2504157,4304,8
2504207,2967,7
2504306,19794,50
2504355,1939,4
2504405,11777,30
2504405,11777,30
2504504,5844,14
2504504,5844,14
2504504,5844,14
2504504,5844,14
2504504,5844,14
2504504,5844,14
2504504,5844,14
2504504,5844,14
2504603,18286,48
2504702,2935,7
2504801,12960,33
2504850,745,2
2504900,8620,22
2505006,4791,8
2505105,15039,38
2505238,3057,7
2505204,6188,16
2505279,2509,6
2505303,1794,4
2505352,1988,5
2505402,4766,11
2505600,4373,10
2505709,5862,14
2505808,4022,10
2505808,4022,10
2505907,1858,4
2506004,22309,56
2506103,6462,16
2506202,2182,5
2506202,2182,5
2506251,3535,9
2506301,47040,132
2506400,8493,22
2506400,8493,22
2506509,2066,5
2506608,4348,10
2502607,5238,12
2506707,5175,12
2506806,12064,31
2506905,18711,49
2506905,18711,49
2507002,17747,45
